Station ID Number:,94169,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,HEO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Hermiston_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17854F3),-,NIP(17668E6),-,NIP(17668E6),-,Computed from GHI and DNI,-,TEMP(HEO),-,PSP(17854F3),-,NIP(17668E6),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,45.818441,-,-,-,-,Instrument Shorthand Name:,PSP5,-,-,-,NIP4,-,-,-,TEMP(HEO),-,PSP5,-,NIP4,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.284721,-,-,-,-,Responsivity:,7.390000000000001,microV/(W/m^2),-,-,8.72,microV/(W/m^2),-,-,36.111110000000004,microV?/C,7.390000000000001,microV/(W/m^2),8.72,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,188.,-,-,-,-,Estimated Uncertainty (U95%):,2.8000000000000003,-,2.5300000000000002,-,2.5300000000000002,-,3.774,-,2.2,-,2.8000000000000003,-,2.5300000000000002,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-7-16
Year//Month,1981//01,-,-,-,-,Column Notes:,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,CalculatedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-07-10).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/89
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1981//1//1,1,07::39:38,16::22:43,12::00:55,2.865,12.157,0.23800000000000002,5.804,0.001,2060.255,0.002,1073.05,0.23800000000000002,20.786,7.04,8.61,1.1878,0.2245,2.4805,0.2167,-
1981//1//2,2,07::39:38,16::23:49,12::01:23,2.882,12.274000000000001,0.834,3.3970000000000002,0.108,30.836000000000002,0.41500000000000004,10.,0.726,7.304,3.0300000000000002,11.15,0.8559,0.5729000000000001,2.5384,0.3326,-
1981//1//3,3,07::39:36,16::24:30,12::01:51,2.9,12.275,0.645,3.561,0.002,1459.347,0.006,500.75600000000003,0.643,7.917,5.37,9.19,1.1007,0.29100000000000004,2.5538000000000003,0.262,-
1981//1//4,4,07::39:30,16::25:19,12::02:18,2.919,12.277000000000001,0.833,3.391,0.003,1044.435,0.01,317.623,0.8300000000000001,6.462,2.34,9.98,0.5248,0.7993,2.4941,0.38630000000000003,-
1981//1//5,5,07::39:22,16::26:23,12::02:45,2.94,12.280000000000001,0.725,3.553,0.085,37.672000000000004,0.23700000000000002,15.377,0.639,8.387,0.87,12.620000000000001,-0.0356,1.1216000000000002,2.6095,0.5657,-
1981//1//6,6,07::39:12,16::27:49,12::03:11,2.962,12.284,1.691,3.111,1.016,4.655,3.524,2.912,0.676,7.594,-0.79,14.48,-0.18000000000000002,0.6973,2.7229,0.3556,-
1981//1//7,7,07::38:58,16::28:58,12::03:37,2.986,12.406,0.7010000000000001,3.4490000000000003,0.003,1330.5810000000001,0.028,144.095,0.6980000000000001,7.45,-1.18,7.43,-0.2912,1.0954000000000002,2.3811,0.41390000000000005,-
1981//1//8,8,07::38:39,16::29:47,12::04:02,3.011,12.413,0.555,3.709,0.002,1931.489,0.017,233.284,0.553,9.352,-3.24,3.3200000000000003,-0.2624,0.9607,2.6154,0.32130000000000003,-
1981//1//9,9,07::38:16,16::30:49,12::04:27,3.0380000000000003,12.421,0.759,3.553,0.019,137.802,0.066,43.587,0.739,7.377,1.75,6.75,0.6419,0.2273,2.6218,0.2359,-
1981//1//10,10,07::37:47,16::32:15,12::04:52,3.065,12.432,0.35100000000000003,4.551,0.,100,0.001,858.44,0.35100000000000003,14.607000000000001,2.44,4.,0.6792,0.2258,2.7383,0.22640000000000002,-
1981//1//11,11,07::37:13,16::33:45,12::05:15,3.094,12.438,0.199,7.014,0.,100,0.001,2832.851,0.199,25.764,1.95,2.73,0.5457000000000001,0.24330000000000002,2.6407000000000003,0.22590000000000002,-
1981//1//12,12,07::36:40,16::34:37,12::05:38,3.125,12.554,0.256,5.6000000000000005,0.001,2961.617,0.002,2038.794,0.256,20.028,1.75,3.0300000000000002,0.5531,0.2359,2.6943,0.17020000000000002,-
1981//1//13,13,07::36:10,16::35:41,12::06:01,3.157,12.583,0.209,6.6160000000000005,0.001,3133.3050000000003,0.016,214.09300000000002,0.20800000000000002,24.217,0.58,2.14,0.36010000000000003,0.24730000000000002,2.6211,0.18860000000000002,-
1981//1//14,14,07::35:48,16::37:12,12::06:23,3.19,12.59,0.269,5.556,0.001,2146.099,0.002,1094.511,0.269,19.231,-0.11,1.6500000000000001,0.0229,0.234,2.7640000000000002,0.1917,-
1981//1//15,15,07::35:23,16::38:47,12::06:44,3.224,12.716000000000001,0.222,6.3500000000000005,0.001,2489.475,0.004,633.099,0.221,23.199,0.09,1.26,0.1637,0.2336,2.8498,0.2049,-
1981//1//16,16,07::34:54,16::39:42,12::07:04,3.2600000000000002,12.726,0.225,6.203,0.,100,0.001,557.986,0.225,22.587,-0.01,1.26,0.012100000000000001,0.3045,2.7482,0.21150000000000002,-
1981//1//17,17,07::34:18,16::40:53,12::07:24,3.297,12.738,0.609,3.725,0.008,354.106,0.022,136.57,0.601,9.347,0.58,4.4,0.0098,0.4828,2.6332,0.2137,-
1981//1//18,18,07::33:33,16::42:36,12::07:43,3.335,12.754,0.36,4.465,0.001,3004.539,0.003,1073.05,0.36,14.517,1.26,3.22,0.5398000000000001,0.2432,2.6165000000000003,0.17,-
1981//1//19,19,07::32:32,16::44:00,12::08:01,3.375,12.892,0.594,3.708,0.002,965.745,0.013000000000000001,238.088,0.592,9.200000000000001,2.24,5.86,0.509,0.3618,2.7003,0.23070000000000002,-
1981//1//20,20,07::31:33,16::45:02,12::08:19,3.416,12.891,0.315,4.833,0.001,3219.149,0.002,1673.957,0.315,16.705000000000002,-0.6,3.42,0.2669,0.9314,2.6293,0.3896,-
1981//1//21,21,07::30:54,16::46:24,12::08:36,3.458,12.926,0.6990000000000001,3.632,0.004,708.213,0.01,300.454,0.6950000000000001,8.118,2.73,7.43,0.8373,0.2461,2.5906000000000002,0.21630000000000002,-
1981//1//22,22,07::30:17,16::48:15,12::08:52,3.501,12.938,0.791,3.448,0.004,826.248,0.011,312.16,0.787,7.155,4.79,9.98,0.9853000000000001,0.25170000000000003,2.6189,0.2162,-
1981//1//23,23,07::29:31,16::49:24,12::09:07,3.545,13.07,0.605,3.754,0.003,1244.738,0.008,488.238,0.602,9.121,5.28,10.370000000000001,0.8115,0.41000000000000003,2.5344,0.2765,-
1981//1//24,24,07::28:33,16::50:35,12::09:22,3.591,13.09,2.392,3.1270000000000002,-,-,-,-,-,-,4.49,11.44,0.1326,0.41100000000000003,2.3588,0.2267,-
1981//1//25,25,07::27:15,16::52:17,12::09:35,3.638,13.112,2.286,3.104,1.839,3.247,5.795,2.794,0.447,11.8,-0.4,15.65,-0.5707,0.6691,2.2993,0.447,-
1981//1//26,26,07::26:09,16::53:54,12::09:48,3.686,13.257,1.281,3.322,0.356,12.498000000000001,1.365,4.7860000000000005,0.925,6.829,0.19,10.56,-0.1414,0.7072,2.4481,0.5483,-
1981//1//27,27,07::25:26,16::54:59,12::10:00,3.735,13.271,0.607,3.71,0.002,836.979,0.006,278.993,0.605,9.105,-0.5,6.3500000000000005,-0.09870000000000001,0.8048000000000001,2.7436000000000003,0.5019,-
1981//1//28,28,07::24:32,16::56:24,12::10:12,3.785,13.289,0.717,3.56,0.005,583.739,0.014,223.80700000000002,0.712,7.994,2.24,7.140000000000001,0.32830000000000004,0.5724,2.6507,0.3468,-
1981//1//29,29,07::23:21,16::58:20,12::10:22,3.837,13.313,1.343,3.23,0.225,16.332,0.58,7.304,1.118,5.896,-0.7000000000000001,10.56,-0.0329,0.9251,2.4057,0.4723,-
1981//1//30,30,07::21:50,16::59:29,12::10:32,3.8890000000000002,13.446,1.1360000000000001,3.343,0.13,29.411,0.51,8.795,1.006,6.389,2.24,11.35,0.1744,0.7165,2.43,0.2624,-
1981//1//31,31,07::20:49,17::00:45,12::10:41,3.943,13.481,2.68,3.098,2.195,3.261,6.464,2.786,0.485,11.318,1.26,11.64,-0.6566000000000001,0.6967,2.3328,0.44160000000000005,-
1981//2//1,32,07::19:54,17::02:35,12::10:49,3.998,13.499,2.658,3.108,2.007,3.4410000000000003,5.611,2.827,0.651,8.242,-2.65,13.01,-1.4263000000000001,0.4708,2.1608,0.4375,-
1981//2//2,33,07::18:41,17::04:03,12::10:56,4.053,13.64,2.5220000000000002,3.138,1.3880000000000001,3.724,4.006,2.898,1.1340000000000001,5.704,-3.63,9.39,-0.313,0.936,2.5958,0.33480000000000004,-
1981//2//3,34,07::17:02,17::05:12,12::11:02,4.11,13.664,0.529,4.1370000000000005,0.002,773.076,0.005,577.772,0.528,10.246,1.6500000000000001,3.91,0.5589000000000001,0.2596,2.6964,0.22760000000000002,-
1981//2//4,35,07::15:51,17::06:46,12::11:08,4.168,13.698,0.611,3.8810000000000002,0.002,1851.313,0.006,637.448,0.609,8.998,0.77,4.59,0.42310000000000003,0.248,2.632,0.21730000000000002,-
1981//2//5,36,07::14:50,17::08:41,12::11:13,4.226,13.834,0.518,4.196,0.002,1892.001,0.005,813.764,0.516,10.563,0.38,3.42,0.3428,0.2632,2.6279000000000003,0.2003,-
1981//2//6,37,07::13:28,17::09:44,12::11:17,4.2860000000000005,13.861,1.05,3.4330000000000003,0.003,1234.209,0.014,276.098,1.047,6.009,1.26,4.69,0.5166000000000001,0.2569,2.5732,0.21760000000000002,-
1981//2//7,38,07::11:38,17::11:06,12::11:20,4.347,13.879,0.626,3.84,0.002,1790.28,0.01,362.125,0.625,8.955,-3.83,2.93,-0.5091,0.9985,2.4614000000000003,0.3574,-
1981//2//8,39,07::10:33,17::13:02,12::11:22,4.408,13.919,0.489,4.401,0.002,1830.969,0.006,623.886,0.487,11.428,-5.,2.14,-0.8169000000000001,0.9717,2.6380000000000003,0.37260000000000004,-
1981//2//9,40,07::09:21,17::14:19,12::11:24,4.471,14.059000000000001,0.855,3.775,0.013000000000000001,237.869,0.027,117.544,0.843,7.577,-4.71,4.79,-0.44170000000000004,0.9286000000000001,2.4770000000000003,0.26480000000000004,-
1981//2//10,41,07::07:36,17::15:32,12::11:25,4.534,14.094,3.231,3.115,2.723,3.148,7.096,3.092,0.514,10.871,-10.58,2.93,-2.2618,0.9750000000000001,2.4594,0.3695,-
1981//2//11,42,07::06:02,17::17:17,12::11:25,4.598,14.126,0.9570000000000001,3.4370000000000003,0.002,1586.8400000000001,0.004,793.4200000000001,0.9550000000000001,6.251,-6.28,-0.99,-0.5162,0.7781,2.7874000000000003,0.28140000000000004,-
1981//2//12,43,07::04:54,17::18:54,12::11:24,4.663,14.263,0.906,3.603,0.005,740.525,0.017,227.375,0.901,6.938,-1.87,3.5100000000000002,-0.4449,0.38170000000000004,2.6083000000000003,0.2957,-
1981//2//13,44,07::03:20,17::20:01,12::11:22,4.729,14.294,0.526,4.0760000000000005,0.002,1179.958,0.011,218.237,0.524,10.853,-0.4,2.83,0.4136,0.5077,2.5153000000000003,0.2514,-
1981//2//14,45,07::01:20,17::21:29,12::11:20,4.796,14.334,2.253,3.169,0.755,6.32,1.977,3.886,1.498,5.2250000000000005,1.85,16.34,0.1865,0.7399,2.4087,0.6303000000000001,-
1981//2//15,46,07::00:13,17::23:26,12::11:17,4.863,14.354000000000001,0.72,3.886,0.002,1729.248,0.006,630.667,0.718,8.245000000000001,7.23,13.4,0.5690000000000001,0.6115,2.6619,0.652,-
1981//2//16,47,06::58:44,17::24:32,12::11:13,4.931,14.499,1.195,3.326,0.169,25.583000000000002,0.861,6.5760000000000005,1.026,6.336,6.84,19.77,0.4808,0.9614,2.4653,0.67,-
1981//2//17,48,06::56:38,17::25:49,12::11:09,5.,14.522,2.2,3.138,0.767,5.998,2.22,3.5300000000000002,1.432,5.3950000000000005,6.26,16.44,0.2538,0.868,2.4708,0.5538000000000001,-
1981//2//18,49,06::55:23,17::27:39,12::11:04,5.069,14.565,1.331,3.376,0.149,18.569,0.37,7.816,1.182,5.93,6.55,17.32,1.2925,0.4904,2.7535000000000003,0.36410000000000003,-
1981//2//19,50,06::53:54,17::29:04,12::10:58,5.139,14.709,1.808,3.209,0.41600000000000004,10.665000000000001,1.3940000000000001,4.68,1.393,5.354,4.4,15.56,0.48000000000000004,1.2641,2.7694,0.7988000000000001,-
1981//2//20,51,06::51:45,17::30:12,12::10:52,5.21,14.735,3.577,3.104,2.778,3.225,6.386,2.862,0.799,7.5040000000000004,3.3200000000000003,11.540000000000001,-0.3385,0.6243000000000001,2.3971,0.36660000000000004,-
1981//2//21,52,06::50:25,17::31:43,12::10:45,5.281,14.776,2.342,3.14,0.523,9.486,1.2670000000000001,4.988,1.819,4.8580000000000005,2.05,14.97,-0.2782,0.8587,2.2074000000000003,0.5992000000000001,-
1981//2//22,53,06::48:53,17::33:37,12::10:37,5.352,14.805,3.3160000000000003,3.073,2.178,3.372,5.152,2.7960000000000003,1.1380000000000001,5.66,-0.79,19.37,-0.5539000000000001,0.6317,2.3868,0.5059,-
1981//2//23,54,06::46:40,17::34:38,12::10:29,5.425,14.946,3.3080000000000003,3.106,1.809,3.8080000000000003,3.904,2.982,1.499,4.978,0.09,18.2,-0.48300000000000004,0.9011,2.3722000000000003,0.641,-
1981//2//24,55,06::45:20,17::35:55,12::10:20,5.498,14.989,2.346,3.1670000000000003,0.89,5.835,2.248,3.763,1.456,5.421,0.38,15.26,-0.5661,0.6008,2.4131,0.42960000000000004,-
1981//2//25,56,06::43:42,17::37:44,12::10:10,5.571,15.02,3.596,3.084,2.827,3.2840000000000003,6.438,2.853,0.769,8.067,-0.7000000000000001,17.71,-0.9611000000000001,0.9166000000000001,2.305,0.8118000000000001,-
1981//2//26,57,06::41:24,17::39:05,12::10:00,5.6450000000000005,15.156,3.7840000000000003,3.078,2.705,3.374,5.956,2.916,1.08,5.968,-2.36,18.400000000000002,-0.8941,0.8988,2.4330000000000003,0.6817000000000001,-
1981//2//27,58,06::40:08,17::40:12,12::09:50,5.719,15.203000000000001,3.987,3.077,3.249,3.093,7.51,2.779,0.738,8.274000000000001,-2.07,17.12,-1.338,0.8176,2.0913,0.9476,-
1981//2//28,59,06::38:21,17::41:41,12::09:39,5.793,15.237,4.109,3.0700000000000003,3.372,3.052,7.672000000000001,2.782,0.737,8.135,-3.04,17.32,-1.2142000000000002,0.515,2.29,0.5534,-
1981//3//1,60,06::36:11,17::43:34,12::09:27,5.868,15.279,4.1370000000000005,3.096,3.4130000000000003,3.088,7.712,2.789,0.725,8.596,-1.67,18.,-1.234,0.6687000000000001,2.3738,0.6236,-
1981//3//2,61,06::34:49,17::44:33,12::09:15,5.944,15.418000000000001,4.192,3.113,3.318,3.083,7.406000000000001,2.793,0.873,7.266,-3.14,20.06,-1.248,0.6616000000000001,2.2626,0.6867000000000001,-
1981//3//3,62,06::32:48,17::45:46,12::09:02,6.019,15.457,2.701,3.17,0.34400000000000003,13.374,0.604,8.084,2.357,4.723,-0.7000000000000001,16.63,-0.3068,0.9436,2.4852000000000003,0.43460000000000004,-
1981//3//4,63,06::30:54,17::47:32,12::08:49,6.095,15.493,1.195,3.622,0.005,765.813,0.01,387.024,1.19,6.0600000000000005,4.3,9.,0.36860000000000004,0.7916000000000001,2.5484,0.3417,-
1981//3//5,64,06::29:23,17::48:57,12::08:35,6.171,15.635,3.846,3.133,2.708,3.575,5.364,3.0580000000000003,1.1380000000000001,6.393,-1.48,16.14,-0.9511000000000001,0.8496,2.3484000000000003,0.462,-
1981//3//6,65,06::27:07,17::50:00,12::08:21,6.248,15.67,4.526,3.092,3.488,3.101,7.496,2.8040000000000003,1.038,6.244,-4.51,13.89,-1.8035,0.5932000000000001,2.1451000000000002,0.8363,-
1981//3//7,66,06::25:30,17::51:21,12::08:07,6.325,15.708,2.481,3.209,0.432,12.486,1.026,6.293,2.049,4.749,-3.14,13.6,-1.0468,0.6836,2.2262,0.5135000000000001,-
1981//3//8,67,06::23:49,17::53:11,12::07:52,6.401,15.738,4.393,3.094,3.4330000000000003,3.164,7.192,2.82,0.961,6.878,-1.28,17.32,-1.1447,0.7406,2.0348,0.8566,-
1981//3//9,68,06::21:24,17::54:18,12::07:37,6.479,15.875,4.538,3.089,3.507,3.136,7.261,2.801,1.031,6.399,-2.36,18.2,-1.0508,0.6385000000000001,2.3651,0.636,-
1981//3//10,69,06::20:01,17::55:26,12::07:22,6.556,15.923,4.702,3.084,3.883,3.017,8.176,2.778,0.8180000000000001,7.9190000000000005,-1.67,19.96,-1.1695,0.5984,2.2124,0.6472,-
1981//3//11,70,06::18:02,17::56:57,12::07:06,6.633,15.96,4.702,3.091,3.727,3.086,7.757000000000001,2.795,0.975,6.8020000000000005,-1.48,20.84,-1.0929,0.6591,2.1073,0.6583,-
1981//3//12,71,06::15:58,17::58:40,12::06:50,6.71,16.114,4.6610000000000005,3.104,3.493,3.138,6.965,2.842,1.169,5.8420000000000005,-1.3800000000000001,21.04,-0.9235000000000001,0.7076,2.1243000000000003,0.7194,-
1981//3//13,72,06::14:25,17::59:38,12::06:33,6.788,16.14,4.561,3.096,3.345,3.1270000000000002,6.788,2.807,1.216,5.7170000000000005,0.38,22.7,-0.671,0.45,2.5057,0.45470000000000005,-
1981//3//14,73,06::12:05,18::00:50,12::06:17,6.865,16.176000000000002,4.8870000000000005,3.091,4.131,2.994,8.427,2.777,0.757,8.65,3.42,22.31,-1.0237,0.6749,2.2213000000000003,0.6970000000000001,-
1981//3//15,74,06::10:27,18::02:33,12::06:00,6.9430000000000005,16.213,3.959,3.1350000000000002,2.114,3.767,3.98,3.053,1.845,5.033,0.48,21.14,0.025400000000000002,1.0752000000000002,2.7733000000000003,0.5485,-
1981//3//16,75,06::08:40,18::03:56,12::05:43,7.0200000000000005,16.359,4.22,3.1470000000000002,2.579,3.419,4.601,2.982,1.641,5.103,4.1,15.46,-0.1683,1.0698,2.8619000000000003,0.5634,-
1981//3//17,76,06::06:17,18::04:56,12::05:26,7.098,16.405,5.19,3.075,4.47,2.96,9.095,2.763,0.719,9.217,0.58,17.91,-1.5869,0.5066,2.3892,0.49300000000000005,-
1981//3//18,77,06::04:51,18::06:14,12::05:08,7.175,16.428,4.087,3.114,2.024,4.144,4.0680000000000005,3.295,2.063,4.908,-4.42,16.73,-1.1932,1.0042,2.2880000000000003,0.7855000000000001,-
1981//3//19,78,06::02:41,18::08:00,12::04:50,7.252,16.468,3.798,3.134,1.635,4.553,2.532,3.83,2.1630000000000003,4.748,4.49,19.37,0.07200000000000001,1.1666,2.5467,0.653,-
1981//3//20,79,06::00:46,18::09:10,12::04:33,7.329,16.617,2.958,3.153,0.47800000000000004,12.642,1.416,5.8660000000000005,2.48,4.6690000000000005,6.55,14.58,0.1752,0.7498,2.6154,0.2913,-
1981//3//21,80,05::59:07,18::10:13,12::04:15,7.407,16.645,4.502,3.162,3.406,3.172,6.032,2.947,1.095,7.2090000000000005,2.73,23.29,0.09050000000000001,1.0472000000000001,2.432,0.644,-
1981//3//22,81,05::56:40,18::11:37,12::03:57,7.484,16.673000000000002,3.4450000000000003,3.169,1.457,5.186,3.126,3.708,1.989,5.221,2.73,17.42,-0.3924,1.1442,2.3481,0.6261,-
1981//3//23,82,05::55:11,18::13:24,12::03:39,7.5600000000000005,16.716,2.391,3.239,0.171,33.508,0.365,16.138,2.221,4.915,1.6500000000000001,17.32,-0.5853,0.8279000000000001,2.556,0.678,-
1981//3//24,83,05::53:14,18::14:23,12::03:20,7.6370000000000005,16.864,4.541,3.117,2.193,3.781,4.234,3.078,2.349,4.724,1.17,20.26,-0.18460000000000001,1.3167,2.4787,0.7676000000000001,-
1981//3//25,84,05::51:02,18::15:29,12::03:02,7.713,16.905,1.286,3.579,0.006,679.35,0.015,277.23,1.28,6.054,8.21,13.11,1.218,0.7892,2.7825,0.3608,-
